date,symbol,epsActual,epsEstimated,revenueActual,revenueEstimated,Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,pegRatio,score
2026-07-28,CARR,0.86,0.817,6351000000.0,6018040000,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,building-products-equipment,51483222016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-24,HCA,7.59,7.56,20230000000.0,19756770000,HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,medical-care-facilities,85554905088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-24,VZ,1.3,1.27,34253000000.0,35162020000,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,telecom-services,193103740928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-23,AAL,0.15,0.03,16735000000.0,16700550000,AAL,American Airlines Group Inc.,Industrials,Airlines,airlines,10095372288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-23,NOK,0.08,0.07,5475137000.0,5567637000,NOK,unknown,Technology,Communication Equipment,communication-equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-23,INTC,0.42,0.21,16128000000.0,14434850000,INTC,Intel Corporation,Technology,Semiconductors,semiconductors,471181197312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-23,LMT,7.94,7.22,20063000000.0,19339120000,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,aerospace-defense,132305420288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-22,TSLA,0.33,0.5,28236000000.0,26423380000,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,auto-manufacturers,1200662511616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-22,GOOGL,9.11,2.87,119796000000.0,116532500000,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,internet-content-information,4236707627008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-22,T,0.65,0.59,31558000000.0,31795050000,T,AT&T Inc.,Communication Services,Telecom Services,telecom-services,159078137856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-21,GM,3.57,3.19,48026000000.0,47011490000,GM,unknown,Consumer Cyclical,Auto Manufacturers,auto-manufacturers,79184732160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
