Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,semiconductor-equipment-materials,438112518144,20.21,2.536,1.695,23.799999999999997,49.980000000000004,66.22,43.35,7.7,0,0.3,40.8,30.94,2.53,54.33,6
TXN,Texas Instruments Incorporated,Technology,Semiconductors,semiconductors,283457486848,15.37,4.456,2.827,18.6,57.32000000000001,53.15,32.53,5.34,0,1.84,31.3,29.110000000000003,2.07,30.73,6
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,semiconductor-equipment-materials,692718862336,20.56,1.36,0.691,13.200000000000001,52.6,61.34,36.04,8.46,0,0.49,19.2,29.709999999999997,0.29,49.0,6
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,semiconductors,909695778816,24.29,2.725,1.75,37.8,53.059999999999995,185.35,42.01,7.09,0,0.0,91.2,13.370000000000001,2.56,6.88,4
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,semiconductors,211649953792,24.28,3.278,2.51,27.6,51.5,81.31,38.17,8.53,0,0.1,-80.4,28.99,4.5600000000000005,18.66,4
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,computer-hardware,205966360576,18.71,1.326,0.772,44.1,41.57,86.21,32.9,6.11,0,0.33,108.3,21.6,3.3300000000000005,-324.28,4
BRK/A,unknown,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,auto-manufacturers,1531433975808,15.65,2.043,1.43,15.8,19.06,370.69,158.19,10.66,0,0.0,8.3,3.95,2.37,4.62,2
SPCX,Space Exploration Technologies Corp.,Industrials,Aerospace & Defense,aerospace-defense,1914209435648,99.18,1.217,1.088,15.4,48.83,0.0,167.64,42.94,0,0.0,0.0,-45.0,1.7999999999999998,-191.88,2
BRK/B,unknown,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.83,2
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,software-infrastructure,265616654336,25.04,0.856,0.728,31.1,71.96000000000001,285.89,79.12,4.84,0,0.0,0.0,7.95,3.09,14.49,2
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.83,2
INTC,Intel Corporation,Technology,Semiconductors,semiconductors,552055799808,10.27,2.312,1.657,7.199999999999999,37.2,0.0,69.98,5.98,0,0.0,0.0,-5.8999999999999995,2.54,-0.23,2
CCZ,Comcast Holdings Corp.,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
