Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
EZPW,"EZCORP, Inc.",Financial Services,Credit Services,credit-services,1716727936,1.08,4.811,1.588,34.699999999999996,58.550000000000004,14.04,12.89,0.29,0,0.0,39.300000000000004,9.99,24.98,10.69,18
JCAP,"Jefferson Capital, Inc.",Financial Services,Credit Services,credit-services,1296041472,2.07,5.13,5.08,11.899999999999999,75.12,4.08,7.23,0.45,0,4.59,0.0,25.8,4.6899999999999995,39.48,18
ASM,unknown,Basic Materials,Other Precious Metals & Mining,other-precious-metals-mining,1172659584,10.39,5.775,5.21,109.3,54.94,30.5,8.28,-0.44,0,0.0,125.69999999999999,32.74,4.12,-160.36,18
ATEX,Anterix Inc.,Communication Services,Telecom Services,telecom-services,1938734976,298.22,3.333,3.033,41.0,100.0,20.42,-134.36,0.0,0,0.0,98.4,1394.17,16.86,34.55,18
LEGH,Legacy Housing Corporation,Consumer Cyclical,Residential Construction,residential-construction,697752128,3.89,3.556,1.423,32.300000000000004,49.16,13.65,14.04,1.34,0,0.0,64.60000000000001,28.560000000000002,8.63,7.91,18
MAX,"MediaAlpha, Inc.",Communication Services,Internet Content & Information,internet-content-information,811747712,0.66,1.288,1.242,25.900000000000002,14.71,8.18,8.52,0.42,0,0.0,0.0,7.9399999999999995,8.99,615.94,18
OBE,Obsidian Energy Ltd.,Energy,Oil & Gas E&P,oil-gas-e-p,672442048,1.24,0.781,0.462,41.699999999999996,59.330000000000005,33.57,8.16,0.29,0,0.0,190.5,5.11,0.0,2.53,18
CDNA,"CareDx, Inc.",Healthcare,Diagnostics & Research,diagnostics-research,2379774208,5.2,4.581,4.355,52.2,70.58,22.12,33.95,0.73,0,0.0,0.0,24.23,12.25,-7.05,18
NVGS,Navigator Holdings Ltd.,Energy,Oil & Gas Midstream,oil-gas-midstream,1286284032,2.09,1.709,1.305,29.5,54.61,9.65,11.98,0.67,0,1.34,174.2,22.8,6.09,8.16,18
MFA,"MFA Financial, Inc.",Real Estate,REIT - Mortgage,reit-mortgage,933547072,3.08,43.941,43.133,20.200000000000003,87.59,9.14,6.41,0.31,0,15.91,61.9,48.949999999999996,3.42,9.67,18
NAT,unknown,Energy,Oil & Gas Midstream,oil-gas-midstream,0,0.0,2.999,1.605,104.3,46.93,24.58,17.04,0.0,0,13.75,990.3000000000001,16.36,8.17,2.75,18
CAPL,CrossAmerica Partners LP,Energy,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,821653504,0.23,0.759,0.258,34.1,11.92,14.26,18.73,0.13,0,9.68,-18.8,1.5599999999999998,0.32,-38.22,18
PANL,Pangaea Logistics Solutions Ltd.,Industrials,Marine Shipping,marine-shipping,482435072,0.71,1.633,1.079,38.9,18.25,13.66,8.35,0.35,0,2.69,0.0,5.1,3.55,4.51,18
