Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
WEYS,"Weyco Group, Inc.",Consumer Cyclical,Footwear & Accessories,footwear-accessories,317197472,1.15,4.224,2.803,-4.6,43.17,13.78,22.91,1.2,0,3.22,-12.3,8.36,1.12,12.35,10
WF,Woori Financial Group Inc.,Financial Services,Banks - Regional,banks-regional,15668857856,0.0,0.0,0.0,5.7,0.0,7.81,7.06,0.0,0,4.09,-23.8,31.36,0.02,9.05,12
WFG,West Fraser Timber Co. Ltd.,Basic Materials,Lumber & Wood Production,lumber-wood-production,4999886336,0.92,2.131,0.806,-17.1,23.4,0.0,18.2,1.07,0,2.02,0.0,-17.16,0.0,-16.02,2
WFRD,Weatherford International plc,Energy,Oil & Gas Equipment & Services,oil-gas-equipment-services,6165913600,1.25,2.194,1.491,-3.9,31.19,14.5,12.16,1.3,0,1.29,27.1,8.76,8.57,25.37,10
WGO,"Winnebago Industries, Inc.",Consumer Cyclical,Recreational Vehicles,recreational-vehicles,943697664,0.33,2.686,1.17,12.3,13.12,26.12,10.72,0.25,0,4.19,0.0,1.27,9.42,2.1,12
WGS,GeneDx Holdings Corp.,Healthcare,Diagnostics & Research,diagnostics-research,2244542720,5.25,2.463,2.256,26.5,69.74000000000001,0.0,37.28,1.17,0,0.0,0.0,-4.92,23.5,-6.82,8
WH,"Wyndham Hotels & Resorts, Inc.",Consumer Cyclical,Lodging,lodging,5565899776,3.89,0.858,0.7,-2.1,60.46,29.63,13.74,3.98,0,2.26,0.0,13.51,11.74,41.24,8
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,oil-gas-equipment-services,3154923776,2.92,5.814,1.754,-4.0,37.02,19.0,12.92,3.04,0,1.22,-15.4,15.38,9.54,13.54,10
WHFCL,"WhiteHorse Finance, Inc. 7.875% Notes due 2028",unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances,3698136832,0.24,0.756,0.299,-0.8999999999999999,15.37,10.14,7.94,0.24,0,7.79,0.0,2.0500000000000003,19.39,11.67,10
